DateTime,ADATUNCO_GAGE_HT,ADATUNCO_DISCHRG
2018-09-30 04,0.96,56.23
2018-09-30 05,0.97,56.68
2018-09-30 06,0.97,56.68
2018-09-30 07,0.96,56.23
2018-09-30 08,0.96,56
2018-09-30 09,0.96,56
2018-09-30 10,0.96,56
2018-09-30 11,0.96,56
2018-09-30 12,0.96,56
2018-09-30 13,0.96,56
2018-09-30 14,0.96,56
2018-09-30 15,0.96,56
2018-09-30 16,0.96,56.23
2018-09-30 17,0.96,56
2018-09-30 18,0.96,56
2018-09-30 19,0.96,56
2018-09-30 20,0.96,56
2018-09-30 21,0.96,56
2018-09-30 22,0.96,56
2018-09-30 23,0.96,56
2018-10-01 00,0.96,56.23
2018-10-01 01,0.96,56
2018-10-01 02,0.96,56
2018-10-01 03,1.35,97.93
2018-10-01 04,1.74,143
2018-10-01 05,1.76,145
2018-10-01 06,1.76,145
2018-10-01 07,1.76,145
2018-10-01 08,1.77,146.5
2018-10-01 09,1.77,146
2018-10-01 10,1.77,146.5
2018-10-01 11,1.77,146.5
2018-10-01 12,1.77,146
2018-10-01 13,1.77,146
2018-10-01 14,1.78,147.75
2018-10-01 15,1.78,148
2018-10-01 16,1.78,148
2018-10-01 17,1.78,148
2018-10-01 18,1.78,148
2018-10-01 19,1.78,148
2018-10-01 20,1.77,147.25
2018-10-01 21,1.77,147.25
2018-10-01 22,1.77,147
2018-10-01 23,1.77,147.25
2018-10-02 00,1.78,147.75
2018-10-02 01,1.78,147.75
2018-10-02 02,1.79,149
2018-10-02 03,2.04,183.25
2018-10-02 04,2.13,197
2018-10-02 05,2.13,197.25
2018-10-02 06,2.16,201.75
2018-10-02 07,2.17,203
2018-10-02 08,2.17,203
2018-10-02 09,2.17,203
2018-10-02 10,2.17,203
2018-10-02 11,2.17,203
2018-10-02 12,2.17,203
2018-10-02 13,2.17,203
2018-10-02 14,2.17,203.25
2018-10-02 15,2.17,202.5
2018-10-02 16,2.17,202.5
2018-10-02 17,2.17,202
2018-10-02 18,2.16,201
2018-10-02 19,2.17,202
2018-10-02 20,2.16,201.5
2018-10-02 21,2.16,201
2018-10-02 22,2.16,201
2018-10-02 23,2.16,201
2018-10-03 00,2.16,201
2018-10-03 01,2.16,201
2018-10-03 02,2.17,202
2018-10-03 03,2.17,202.5
2018-10-03 04,2.17,203
2018-10-03 05,2.17,203
2018-10-03 06,2.18,204
2018-10-03 07,2.18,204
2018-10-03 08,2.18,204
2018-10-03 09,2.15,199.5
2018-10-03 10,2.14,197.75
2018-10-03 11,2.13,197.5
2018-10-03 12,2.13,197.25
2018-10-03 13,2.13,197
2018-10-03 14,2.13,197.25
2018-10-03 15,2.13,197
2018-10-03 16,2.13,197
2018-10-03 17,2.13,197
2018-10-03 18,2.13,196.75
2018-10-03 19,2.13,196.75
2018-10-03 20,2.13,196.75
2018-10-03 21,2.12,196
2018-10-03 22,2.12,196
2018-10-03 23,2.12,196
2018-10-04 00,2.12,195.5
2018-10-04 01,2.12,196
2018-10-04 02,2.12,196
2018-10-04 03,2.12,196
2018-10-04 04,2.12,196
2018-10-04 05,2.12,196.25
2018-10-04 06,2.13,197
2018-10-04 07,2.13,197
2018-10-04 08,2.13,197
2018-10-04 09,2.13,197
2018-10-04 10,2.13,197
2018-10-04 11,2.13,197
2018-10-04 12,2.13,197
2018-10-04 13,2.13,197
2018-10-04 14,2.13,197
2018-10-04 15,2.13,197
2018-10-04 16,2.13,197
2018-10-04 17,2.13,196.75
2018-10-04 18,2.12,196.25
2018-10-04 19,2.13,196.5
2018-10-04 20,2.12,196.25
2018-10-04 21,2.12,196
2018-10-04 22,2.12,196
2018-10-04 23,2.12,196
2018-10-05 00,2.12,196
2018-10-05 01,2.18,204.25
2018-10-05 02,2.77,299.25
2018-10-05 03,2.89,320.25
2018-10-05 04,2.9,321
